origin,modern
"Now, good my lord, lie here and rest awhile.","Please lie down and rest a while, my lord."
"Make no noise, make no noise.","Be quiet, be quiet."
"Draw the curtains—so, so, so.","Draw the curtains, just like that."
We’ll go to supper i' th' morning.,We’ll have supper in the morning.
"So, so, so.",That’s right.
And I’ll go to bed at noon.,And I’ll go to bed at noon.
"Here, sir, but trouble him not.","He’s here, sir, but please don’t bother him."
His wits are gone.,He’s out of his right mind.
"Good friend, I prithee, take him in thy arms.","Please get him, my friend, I beg you."
There is a litter ready.,Put
"Come, help to bear thy master.",Carry your master out.
"Come, come, away.","Come on, come on."
"When we our betters see bearing our woes, We scarcely think our miseries our foes.","When we see that our betters have the same problems we do, we can almost forget our own misery."
"Who alone suffers, suffers most i' th' mind, Leaving free things and happy shows behind.",The person who suffers alone suffers the most.
But then the mind much sufferance doth o'erskip When grief hath mates and bearing fellowship.,Companions in sorrow alleviate our grief.
"Tom, away!","Let’s go, Tom."
"What will hap more tonight, safe ’scape the king!","Whatever else happens tonight, I hope the king escapes safely!"
"Lurk, lurk.",Lurk out of sight.
Hang him instantly.,Hang him immediately.
Pluck out his eyes.,Gouge out his eyes!
"Leave him to my displeasure.—Edmund, keep you our sister company.","Leave him to my wrath.—Edmund, go with my sister-in-law."
The revenges we are bound to take upon your traitorous father are not fit for your beholding.,You shouldn’t have to see the punishment we inflict on your father.
"Advise the duke where you are going, to a most festinate preparation.",Tell the Duke of Albany to prepare for war immediately.
We are bound to the like.,We will do the same.
"Our posts shall be swift and intelligent betwixt us.—Farewell, dear sister.",We’ll keep the lines of communication open between us.
How now?,Hello.
Where’s the king?,Where’s the king?
My lord of Gloucester hath conveyed him hence.,Lord Gloucester has helped him leave.
"Some five or six and thirty of his knights, Hot questrists after him, met him at gate, Who with some other of the lord’s dependants Are gone with him towards Dover, where they boast To have well-armèd friends.","Thirty-five or thirty-six of his knights met him at the gate, and together with some others they’ve set off for Dover, where they claim to have powerful friends."
Get horses for your mistress.,Prepare the horses for your lady.
"Farewell, sweet lord, and sister.","Goodbye, my sweet lord.—Goodbye, my sister."
"Edmund, farewell.","Goodbye, Edmund."
Go seek the traitor Gloucester.,Go find the traitor Gloucester.
"Pinion him like a thief, bring him before us.",Tie him up like a thief and bring him here to me.
"Ingrateful fox, ’tis he.",That’s him.
Bind fast his corky arms.,Tie up his withered old arms.
What mean your graces?,What are you doing?
"Good my friends, consider You are my guests.","My friends, remember that you’re my guests here."
"Do me no foul play, friends.",Don’t play any nasty tricks on me.
"Bind him, I say.","Tie him up, I tell you."
"Most royal majesty, I crave no more than hath your highness offered.","Your highness, I want nothing more than what you’ve already offered."
Nor will you tender less.,I know you’ll offer nothing less than that.
"Sir, there she stands.","There she is, over there."
I know no answer.,I don’t know what to say.
"Sir, will you, with those infirmities she owes— Unfriended, new adopted to our hate, Dowered with our curse and strangered with our oath— Take her or leave her?",So do you take her or leave her?
"Then leave her, sir, for by the power that made me, I tell you all her wealth.","Then leave her, sir."
"Hard, hard.—O filthy traitor!",Tie him up harder.—You filthy traitor!
"Unmerciful lady as you are, I’m none.","I’m not a traitor, unfair lady."
"To this chair bind him.—Villain, thou shalt find— By the kind gods, ’tis most ignobly done To pluck me by the beard.","Tie him to this chair.—You’ll see, criminal— By the gods, it’s disgraceful for you to pull my beard."
"So white, and such a traitor?","As old and white-haired as you are, and you’re such a traitor?"
"Naughty lady, These hairs which thou dost ravish from my chin Will quicken and accuse thee.","Wicked woman, these white hairs you’re pulling off my chin will come to life and accuse you of wrong-doing."
I am your host.,You are my guests.
With robbers' hands my hospitable favors You should not ruffle thus.,This is no way to treat a host who has welcomed you into his house.
What will you do?,What do you think you’re doing?
"Come, sir, what letters had you late from France?",Tell us about the letters that you got from France.
"Be simple-answered, for we know the truth.","Get to the point, since we already know the truth."
And what confederacy have you with the traitors Late footed in the kingdom?,And what’s your connection with the traitors who landed in our kingdom recently?
To whose hands You have sent the lunatic king.,The ones you’ve sent our lunatic king to.
Speak.,Tell us.
"I have a letter guessingly set down, Which came from one that’s of a neutral heart, And not from one opposed.","It came from a neutral party, not from someone opposed to you."
Cunning.,How clever of you.
And false.,Clever lies.
Where hast thou sent the king?,Where have you sent the king?
To Dover.,To Dover.
Wherefore to Dover?,Why Dover?
Wast thou not charged at peril— Wherefore to Dover?—Let him first answer that.,"Weren’t you ordered, on penalty of— Why Dover?—Let him answer that question first."
"I am tied to th' stake, and I must stand the course.",I’m backed into a corner with nowhere to run.
"Wherefore to Dover, sir?",Why Dover?
"Because I would not see thy cruèl nails Pluck out his poor old eyes, nor thy fierce sister In his anointed flesh stick boarish fangs.","Because I didn’t want to watch while you gouged out his poor old eyes with your cruel fingernails, or while your vicious sister sank her fangs into his sacred flesh."
"The sea, with such a storm as his bare head In hell-black night endured, would have buoyed up, And quenched the stellèd fires.","You left him out in the storm in the black night, bareheaded, a storm so terrible that if it had happened at sea, the waters would have risen up and extinguished the fire burning in the stars."
"Yet poor old heart, he holp the heavens to rain.","And the poor old man just wept, mixing his tears with the rain."
"If wolves had at thy gate howled that stern time, Thou shouldst have said, “Good porter, turn the key,” All cruèls else subscribed.","If wolves had been howling outside your gate at the heart of that storm, you would’ve told your doorman to let them in, despite all the cruelties you inflict on the world."
But I shall see The wingèd vengeance overtake such children.,But soon I’ll see the gods punish you for your lack of respect to your father.
"See” ’t shalt thou never.—Fellows, hold the chair.— Upon these eyes of thine I’ll set my foot.","You won’t be seeing anything.—Hold his chair still, men.—I’m going to put my foot on his eyes."
"He that will think to live till he be old, Give me some help!","Oh, help me, anyone who wants to live long!"
O cruel!,"Oh, so cruel!"
O you gods!,Oh dear gods!
One side will mock another—th' other too.,Now he’s a little crooked.
But better service have I never done you Than now to bid you hold.,"I’ve served you since childhood, but I’ve never done you a better service than telling you to stop."
